rho,phi,dphi_drho,potential,euclidean_action_density,cumulative_action
4.9600,0.000000,0.000000,0.850000,0.000000,137.147820
4.9800,0.000000,0.000000,0.850000,0.000000,137.147820
5.0000,0.000000,0.000000,0.850000,0.000000,137.147820
5.0200,0.000000,0.000000,0.850000,0.000000,137.147820
5.0400,0.000000,0.000000,0.850000,0.000000,137.147820
5.0600,0.000000,0.000000,0.850000,0.000000,137.147820
5.0800,0.000000,0.000000,0.850000,0.000000,137.147820
5.1000,0.000000,0.000000,0.850000,0.000000,137.147820
5.1200,0.000000,0.000000,0.850000,0.000000,137.147820
5.1400,0.000000,0.000000,0.850000,0.000000,137.147820
5.1600,0.000000,0.000000,0.850000,0.000000,137.147820
5.1800,0.000000,0.000000,0.850000,0.000000,137.147820
5.2000,0.000000,0.000000,0.850000,0.000000,137.147820
5.2200,0.000000,0.000000,0.850000,0.000000,137.147820
5.2400,0.000000,0.000000,0.850000,0.000000,137.147820
5.2600,0.000000,0.000000,0.850000,0.000000,137.147820
5.2800,0.000000,0.000000,0.850000,0.000000,137.147820
5.3000,0.000000,0.000000,0.850000,0.000000,137.147820
5.3200,0.000000,0.000000,0.850000,0.000000,137.147820
5.3400,0.000000,0.000000,0.850000,0.000000,137.147820
5.3600,0.000000,0.000000,0.850000,0.000000,137.147820
5.3800,0.000000,0.000000,0.850000,0.000000,137.147820
5.4000,0.000000,0.000000,0.850000,0.000000,137.147820
5.4200,0.000000,0.000000,0.850000,0.000000,137.147820
5.4400,0.000000,0.000000,0.850000,0.000000,137.147820
5.4600,0.000000,0.000000,0.850000,0.000000,137.147820
5.4800,0.000000,0.000000,0.850000,0.000000,137.147820
5.5000,0.000000,0.000000,0.850000,0.000000,137.147820
5.5200,0.000000,0.000000,0.850000,0.000000,137.147820
5.5400,0.000000,0.000000,0.850000,0.000000,137.147820
5.5600,0.000000,0.000000,0.850000,0.000000,137.147820
5.5800,0.000000,0.000000,0.850000,0.000000,137.147820
5.6000,0.000000,0.000000,0.850000,0.000000,137.147820
5.6200,0.000000,0.000000,0.850000,0.000000,137.147820
5.6400,0.000000,0.000000,0.850000,0.000000,137.147820
5.6600,0.000000,0.000000,0.850000,0.000000,137.147820
5.6800,0.000000,0.000000,0.850000,0.000000,137.147820
5.7000,0.000000,0.000000,0.850000,0.000000,137.147820
5.7200,0.000000,0.000000,0.850000,0.000000,137.147820
5.7400,0.000000,0.000000,0.850000,0.000000,137.147820
5.7600,0.000000,0.000000,0.850000,0.000000,137.147820
5.7800,0.000000,0.000000,0.850000,0.000000,137.147820
5.8000,0.000000,0.000000,0.850000,0.000000,137.147820
5.8200,0.000000,0.000000,0.850000,0.000000,137.147820
5.8400,0.000000,0.000000,0.850000,0.000000,137.147820
5.8600,0.000000,0.000000,0.850000,0.000000,137.147820
5.8800,0.000000,0.000000,0.850000,0.000000,137.147820
5.9000,0.000000,0.000000,0.850000,0.000000,137.147820
5.9200,0.000000,0.000000,0.850000,0.000000,137.147820
5.9400,0.000000,0.000000,0.850000,0.000000,137.147820
5.9600,0.000000,0.000000,0.850000,0.000000,137.147820
5.9800,0.000000,0.000000,0.850000,0.000000,137.147820
6.0000,0.000000,0.000000,0.850000,0.000000,137.147820
6.0200,0.000000,0.000000,0.850000,0.000000,137.147820
6.0400,0.000000,0.000000,0.850000,0.000000,137.147820
6.0600,0.000000,0.000000,0.850000,0.000000,137.147820
6.0800,0.000000,0.000000,0.850000,0.000000,137.147820
6.1000,0.000000,0.000000,0.850000,0.000000,137.147820
6.1200,0.000000,0.000000,0.850000,0.000000,137.147820
6.1400,0.000000,0.000000,0.850000,0.000000,137.147820
6.1600,0.000000,0.000000,0.850000,0.000000,137.147820
6.1800,0.000000,0.000000,0.850000,0.000000,137.147820
6.2000,0.000000,0.000000,0.850000,0.000000,137.147820
6.2200,0.000000,0.000000,0.850000,0.000000,137.147820
6.2400,0.000000,0.000000,0.850000,0.000000,137.147820
6.2600,0.000000,0.000000,0.850000,0.000000,137.147820
6.2800,0.000000,0.000000,0.850000,0.000000,137.147820
6.3000,0.000000,0.000000,0.850000,0.000000,137.147820
6.3200,0.000000,0.000000,0.850000,0.000000,137.147820
6.3400,0.000000,0.000000,0.850000,0.000000,137.147820
6.3600,0.000000,0.000000,0.850000,0.000000,137.147820
6.3800,0.000000,0.000000,0.850000,0.000000,137.147820
6.4000,0.000000,0.000000,0.850000,0.000000,137.147820
6.4200,0.000000,0.000000,0.850000,0.000000,137.147820
6.4400,0.000000,0.000000,0.850000,0.000000,137.147820
6.4600,0.000000,0.000000,0.850000,0.000000,137.147820
6.4800,0.000000,0.000000,0.850000,0.000000,137.147820
6.5000,0.000000,0.000000,0.850000,0.000000,137.147820
6.5200,0.000000,0.000000,0.850000,0.000000,137.147820
6.5400,0.000000,0.000000,0.850000,0.000000,137.147820
6.5600,0.000000,0.000000,0.850000,0.000000,137.147820
6.5800,0.000000,0.000000,0.850000,0.000000,137.147820
6.6000,0.000000,0.000000,0.850000,0.000000,137.147820
6.6200,0.000000,0.000000,0.850000,0.000000,137.147820
6.6400,0.000000,0.000000,0.850000,0.000000,137.147820
6.6600,0.000000,0.000000,0.850000,0.000000,137.147820
6.6800,0.000000,0.000000,0.850000,0.000000,137.147820
6.7000,0.000000,0.000000,0.850000,0.000000,137.147820
6.7200,0.000000,0.000000,0.850000,0.000000,137.147820
6.7400,0.000000,0.000000,0.850000,0.000000,137.147820
6.7600,0.000000,0.000000,0.850000,0.000000,137.147820
6.7800,0.000000,0.000000,0.850000,0.000000,137.147820
6.8000,0.000000,0.000000,0.850000,0.000000,137.147820
6.8200,0.000000,0.000000,0.850000,0.000000,137.147820
6.8400,0.000000,0.000000,0.850000,0.000000,137.147820
6.8600,0.000000,0.000000,0.850000,0.000000,137.147820
6.8800,0.000000,0.000000,0.850000,0.000000,137.147820
6.9000,0.000000,0.000000,0.850000,0.000000,137.147820
6.9200,0.000000,0.000000,0.850000,0.000000,137.147820
6.9400,0.000000,0.000000,0.850000,0.000000,137.147820
6.9600,0.000000,0.000000,0.850000,0.000000,137.147820
6.9800,0.000000,0.000000,0.850000,0.000000,137.147820
7.0000,0.000000,0.000000,0.850000,0.000000,137.147820
7.0200,0.000000,0.000000,0.850000,0.000000,137.147820
7.0400,0.000000,0.000000,0.850000,0.000000,137.147820
7.0600,0.000000,0.000000,0.850000,0.000000,137.147820
7.0800,0.000000,0.000000,0.850000,0.000000,137.147820
7.1000,0.000000,0.000000,0.850000,0.000000,137.147820
7.1200,0.000000,0.000000,0.850000,0.000000,137.147820
7.1400,0.000000,0.000000,0.850000,0.000000,137.147820
7.1600,0.000000,0.000000,0.850000,0.000000,137.147820
7.1800,0.000000,0.000000,0.850000,0.000000,137.147820
7.2000,0.000000,0.000000,0.850000,0.000000,137.147820
7.2200,0.000000,0.000000,0.850000,0.000000,137.147820
7.2400,0.000000,0.000000,0.850000,0.000000,137.147820
7.2600,0.000000,0.000000,0.850000,0.000000,137.147820
7.2800,0.000000,0.000000,0.850000,0.000000,137.147820
7.3000,0.000000,0.000000,0.850000,0.000000,137.147820
7.3200,0.000000,0.000000,0.850000,0.000000,137.147820
7.3400,0.000000,0.000000,0.850000,0.000000,137.147820
7.3600,0.000000,0.000000,0.850000,0.000000,137.147820
7.3800,0.000000,0.000000,0.850000,0.000000,137.147820
7.4000,0.000000,0.000000,0.850000,0.000000,137.147820
7.4200,0.000000,0.000000,0.850000,0.000000,137.147820
7.4400,0.000000,0.000000,0.850000,0.000000,137.147820
