r,phi_ratio,dphi_dr
1.13383e+00,9.89921e-02,1.06657e+00
1.13684e+00,1.02219e-01,1.07952e+00
1.13985e+00,1.05485e-01,1.09194e+00
1.14286e+00,1.08787e-01,1.10385e+00
1.14586e+00,1.12124e-01,1.11523e+00
1.14887e+00,1.15495e-01,1.12608e+00
1.15188e+00,1.18897e-01,1.13642e+00
1.15489e+00,1.22330e-01,1.14624e+00
1.15789e+00,1.25791e-01,1.15555e+00
1.16090e+00,1.29280e-01,1.16436e+00
1.16391e+00,1.32794e-01,1.17266e+00
1.16692e+00,1.36333e-01,1.18048e+00
1.16992e+00,1.39894e-01,1.18781e+00
1.17293e+00,1.43477e-01,1.19466e+00
1.17594e+00,1.47080e-01,1.20105e+00
1.17895e+00,1.50701e-01,1.20699e+00
1.18195e+00,1.54340e-01,1.21247e+00
1.18496e+00,1.57994e-01,1.21752e+00
1.18797e+00,1.61663e-01,1.22214e+00
1.19098e+00,1.65345e-01,1.22635e+00
1.19398e+00,1.69039e-01,1.23015e+00
1.19699e+00,1.72744e-01,1.23356e+00
1.20000e+00,1.76458e-01,1.23659e+00
1.21654e+00,1.97012e-01,1.24689e+00
1.23308e+00,2.17657e-01,1.24782e+00
1.24962e+00,2.38252e-01,1.24112e+00
1.26617e+00,2.58683e-01,1.22839e+00
1.28271e+00,2.78864e-01,1.21098e+00
1.29925e+00,2.98727e-01,1.19006e+00
1.31579e+00,3.18220e-01,1.16656e+00
1.33233e+00,3.37310e-01,1.14126e+00
1.34887e+00,3.55970e-01,1.11476e+00
1.36541e+00,3.74185e-01,1.08752e+00
1.39850e+00,4.09250e-01,1.03225e+00
1.43158e+00,4.42489e-01,9.77419e-01
1.46466e+00,4.73938e-01,9.24126e-01
1.53083e+00,5.31723e-01,8.24093e-01
1.59699e+00,5.83205e-01,7.33685e-01
1.66316e+00,6.29019e-01,6.52643e-01
1.72932e+00,6.69760e-01,5.80230e-01
1.79549e+00,7.05973e-01,5.15628e-01
1.86165e+00,7.38149e-01,4.58059e-01
1.92782e+00,7.66728e-01,4.06802e-01
1.99398e+00,7.92106e-01,3.61203e-01
2.06015e+00,8.14637e-01,3.20667e-01
2.12632e+00,8.34640e-01,2.84654e-01
2.19248e+00,8.52395e-01,2.52679e-01
2.25865e+00,8.68156e-01,2.24300e-01
2.32481e+00,8.82147e-01,1.99123e-01
2.39098e+00,8.94569e-01,1.76793e-01
2.45714e+00,9.05598e-01,1.56992e-01
2.52331e+00,9.15393e-01,1.39434e-01
2.58947e+00,9.24094e-01,1.23868e-01
2.65564e+00,9.31824e-01,1.10066e-01
2.72180e+00,9.38693e-01,9.78283e-02
2.78797e+00,9.44800e-01,8.69759e-02
2.85414e+00,9.50230e-01,7.73504e-02
2.92030e+00,9.55060e-01,6.88115e-02
2.98647e+00,9.59357e-01,6.12348e-02
3.05263e+00,9.63182e-01,5.45101e-02
3.11880e+00,9.66587e-01,4.85400e-02
3.18496e+00,9.69620e-01,4.32382e-02
3.25113e+00,9.72322e-01,3.85285e-02
3.31729e+00,9.74730e-01,3.43433e-02
3.38346e+00,9.76877e-01,3.06230e-02
3.44962e+00,9.78791e-01,2.73149e-02
3.51579e+00,9.80499e-01,2.43722e-02
3.58195e+00,9.82024e-01,2.17537e-02
3.64812e+00,9.83384e-01,1.94229e-02
3.71429e+00,9.84600e-01,1.73473e-02
3.78045e+00,9.85685e-01,1.54985e-02
3.84662e+00,9.86655e-01,1.38511e-02
3.91278e+00,9.87522e-01,1.23826e-02
3.97895e+00,9.88297e-01,1.10732e-02
4.04511e+00,9.88990e-01,9.90518e-03
4.11128e+00,9.89611e-01,8.86303e-03
4.17744e+00,9.90166e-01,7.93286e-03
4.24361e+00,9.90663e-01,7.10238e-03
4.30977e+00,9.91107e-01,6.36067e-03
4.37594e+00,9.91506e-01,5.69806e-03
4.44211e+00,9.91863e-01,5.10594e-03
4.50827e+00,9.92183e-01,4.57666e-03
4.57444e+00,9.92470e-01,4.10344e-03
4.64060e+00,9.92727e-01,3.68023e-03
4.70677e+00,9.92958e-01,3.30165e-03
4.77293e+00,9.93165e-01,2.96293e-03
4.83910e+00,9.93351e-01,2.65981e-03
4.90526e+00,9.93518e-01,2.38850e-03
4.97143e+00,9.93667e-01,2.14562e-03
5.03759e+00,9.93802e-01,1.92817e-03
5.10376e+00,9.93923e-01,1.73346e-03
5.16992e+00,9.94032e-01,1.55911e-03
5.23609e+00,9.94130e-01,1.40299e-03
5.30226e+00,9.94218e-01,1.26319e-03
5.36842e+00,9.94297e-01,1.13803e-03
5.43459e+00,9.94369e-01,1.02598e-03
5.50075e+00,9.94433e-01,9.25714e-04
5.56692e+00,9.94492e-01,8.36014e-04
5.63308e+00,9.94544e-01,7.55811e-04
5.69925e+00,9.94592e-01,6.84148e-04
5.76541e+00,9.94635e-01,6.20171e-04
5.83158e+00,9.94674e-01,5.63122e-04
5.89774e+00,9.94710e-01,5.12321e-04
5.96391e+00,9.94742e-01,4.67167e-04
6.03008e+00,9.94772e-01,4.27122e-04
6.09624e+00,9.94799e-01,3.91711e-04
6.16241e+00,9.94823e-01,3.60512e-04
6.22857e+00,9.94846e-01,3.33150e-04
6.29474e+00,9.94868e-01,3.09296e-04
6.36090e+00,9.94887e-01,2.88660e-04
6.42707e+00,9.94906e-01,2.70988e-04
6.49323e+00,9.94923e-01,2.56060e-04
6.55940e+00,9.94940e-01,2.43684e-04
6.62556e+00,9.94956e-01,2.33696e-04
6.69173e+00,9.94971e-01,2.25960e-04
6.75789e+00,9.94986e-01,2.20359e-04
6.82406e+00,9.95000e-01,2.16802e-04
6.89023e+00,9.95014e-01,2.15216e-04
6.95639e+00,9.95029e-01,2.15549e-04
7.02256e+00,9.95043e-01,2.17767e-04
7.08872e+00,9.95057e-01,2.21853e-04
7.15489e+00,9.95072e-01,2.27810e-04
7.22105e+00,9.95088e-01,2.35654e-04
7.28722e+00,9.95103e-01,2.45421e-04
7.35338e+00,9.95120e-01,2.57164e-04
7.41955e+00,9.95138e-01,2.70949e-04
7.48571e+00,9.95156e-01,2.86865e-04
7.55188e+00,9.95176e-01,3.05014e-04
7.61805e+00,9.95196e-01,3.25519e-04
7.68421e+00,9.95219e-01,3.48520e-04
7.75038e+00,9.95243e-01,3.74179e-04
7.81654e+00,9.95268e-01,4.02679e-04
7.88271e+00,9.95296e-01,4.34225e-04
7.94887e+00,9.95326e-01,4.69044e-04
8.01504e+00,9.95358e-01,5.07393e-04
8.08120e+00,9.95393e-01,5.49553e-04
8.14737e+00,9.95431e-01,5.95835e-04
8.21353e+00,9.95472e-01,6.46583e-04
8.27970e+00,9.95517e-01,7.02176e-04
8.34586e+00,9.95565e-01,7.63028e-04
8.41203e+00,9.95618e-01,8.29597e-04
8.47820e+00,9.95675e-01,9.02383e-04
8.54436e+00,9.95737e-01,9.81933e-04
8.61053e+00,9.95805e-01,1.06885e-03
8.67669e+00,9.95879e-01,1.16379e-03
8.74286e+00,9.95959e-01,1.26747e-03
8.80902e+00,9.96047e-01,1.38069e-03
8.87519e+00,9.96142e-01,1.50429e-03
8.94135e+00,9.96246e-01,1.63923e-03
9.00752e+00,9.96359e-01,1.78654e-03
9.07368e+00,9.96483e-01,1.94734e-03
9.13985e+00,9.96617e-01,2.12286e-03
9.20602e+00,9.96764e-01,2.31445e-03
9.27218e+00,9.96924e-01,2.52358e-03
9.33835e+00,9.97098e-01,2.75187e-03
9.40451e+00,9.97289e-01,3.00108e-03
9.47068e+00,9.97496e-01,3.27313e-03
9.53684e+00,9.97722e-01,3.57013e-03
9.60301e+00,9.97969e-01,3.89439e-03
9.66917e+00,9.98238e-01,4.24844e-03
9.73534e+00,9.98532e-01,4.63503e-03
9.80150e+00,9.98852e-01,5.05719e-03
9.86767e+00,9.99202e-01,5.51823e-03
9.93383e+00,9.99584e-01,6.02179e-03
1.00000e+01,1.00000e+00,6.57182e-03
