t,x_pos,y_pos,phi1,phi2,grad_sq,potential,temperature,energy_density,vorticity,attractor_id
0.0000,3.0,42.0,0.078258,0.021316,0.009944,0.055818,2.500000,0.060790,0,10
0.0000,3.0,43.0,-0.019436,0.001744,0.000850,0.003333,2.500000,0.003759,0,6
0.0000,3.0,44.0,-0.047874,-0.012816,0.004904,0.021280,2.500000,0.023732,1,5
0.0000,3.0,45.0,-0.111362,-0.106498,0.031643,0.194347,2.500000,0.210168,0,5
0.0000,3.0,46.0,0.003854,0.048787,0.006340,0.020724,2.500000,0.023893,0,10
0.0000,3.0,47.0,0.056503,0.004759,0.005283,0.027690,2.500000,0.030332,0,10
0.0000,4.0,0.0,0.091038,-0.024510,0.011985,0.074525,2.500000,0.080517,-1,9
0.0000,4.0,1.0,-0.050734,0.086748,0.002783,0.085433,2.500000,0.086825,0,6
0.0000,4.0,2.0,-0.088088,0.021100,0.006735,0.068952,2.500000,0.072319,0,6
0.0000,4.0,3.0,-0.007249,0.069723,0.003278,0.041916,2.500000,0.043555,1,6
0.0000,4.0,4.0,-0.052348,0.010607,0.001982,0.024646,2.500000,0.025638,0,6
0.0000,4.0,5.0,-0.019164,-0.015632,0.003695,0.005356,2.500000,0.007204,0,5
0.0000,4.0,6.0,-0.001772,-0.089563,0.004293,0.067176,2.500000,0.069322,-1,5
0.0000,4.0,7.0,0.067232,0.016423,0.003270,0.040986,2.500000,0.042621,1,10
0.0000,4.0,8.0,0.102574,-0.059884,0.010605,0.117617,2.500000,0.122920,1,9
0.0000,4.0,9.0,0.029852,0.005820,0.002460,0.008075,2.500000,0.009305,1,10
0.0000,4.0,10.0,0.011167,-0.028564,0.003062,0.008217,2.500000,0.009748,0,9
0.0000,4.0,11.0,0.091378,-0.021331,0.002191,0.073747,2.500000,0.074842,0,9
0.0000,4.0,12.0,0.011586,-0.002764,0.002360,0.001244,2.500000,0.002424,1,9
0.0000,4.0,13.0,0.004097,-0.081286,0.014499,0.055919,2.500000,0.063169,-1,9
0.0000,4.0,14.0,-0.015531,0.090175,0.006268,0.070140,2.500000,0.073274,0,6
0.0000,4.0,15.0,0.064187,0.025295,0.008207,0.040880,2.500000,0.044983,1,10
0.0000,4.0,16.0,0.120250,-0.123607,0.018808,0.239189,2.500000,0.248593,1,9
0.0000,4.0,17.0,-0.023548,-0.042012,0.005159,0.020175,2.500000,0.022755,-1,5
0.0000,4.0,18.0,0.057332,0.004611,0.006270,0.028476,2.500000,0.031611,1,10
0.0000,4.0,19.0,-0.011030,-0.128515,0.010713,0.132565,2.500000,0.137921,-1,5
0.0000,4.0,20.0,0.060991,0.002029,0.005601,0.031970,2.500000,0.034771,0,10
0.0000,4.0,21.0,-0.031043,0.009732,0.001996,0.009238,2.500000,0.010236,0,6
0.0000,4.0,22.0,-0.036245,0.012214,0.001334,0.012745,2.500000,0.013412,-1,6
0.0000,4.0,23.0,0.007219,-0.024593,0.002801,0.005744,2.500000,0.007145,0,9
0.0000,4.0,24.0,0.030505,0.073593,0.001808,0.054157,2.500000,0.055061,-1,10
0.0000,4.0,25.0,0.012144,-0.007657,0.002439,0.001807,2.500000,0.003027,0,9
0.0000,4.0,26.0,-0.039786,-0.052266,0.001009,0.037349,2.500000,0.037853,0,5
0.0000,4.0,27.0,-0.010224,-0.013354,0.001241,0.002479,2.500000,0.003100,0,5
0.0000,4.0,28.0,-0.042472,-0.074161,0.002707,0.062390,2.500000,0.063743,0,5
0.0000,4.0,29.0,0.025460,-0.066881,0.005064,0.043898,2.500000,0.046431,-1,9
0.0000,4.0,30.0,-0.045504,0.027638,0.004844,0.024620,2.500000,0.027042,0,6
0.0000,4.0,31.0,-0.035561,0.116559,0.014625,0.121082,2.500000,0.128395,0,6
0.0000,4.0,32.0,0.036244,-0.083100,0.005693,0.069628,2.500000,0.072475,0,9
0.0000,4.0,33.0,-0.021956,0.004797,0.001715,0.004419,2.500000,0.005277,0,6
0.0000,4.0,34.0,-0.005301,-0.062848,0.008105,0.034109,2.500000,0.038162,0,5
0.0000,4.0,35.0,-0.046302,0.021142,0.005780,0.022486,2.500000,0.025377,0,6
0.0000,4.0,36.0,0.006798,-0.074456,0.005839,0.047491,2.500000,0.050411,-1,9
0.0000,4.0,37.0,-0.089254,0.009202,0.007897,0.067450,2.500000,0.071398,0,6
0.0000,4.0,38.0,-0.011695,-0.012133,0.004679,0.002489,2.500000,0.004829,0,5
0.0000,4.0,39.0,0.093100,-0.070699,0.009554,0.114895,2.500000,0.119672,0,9
0.0000,4.0,40.0,-0.049433,-0.007826,0.005951,0.021672,2.500000,0.024647,0,5
0.0000,4.0,41.0,0.054742,0.053349,0.008826,0.050397,2.500000,0.054810,0,10
0.0000,4.0,42.0,-0.078273,-0.051793,0.007659,0.075038,2.500000,0.078867,1,5
0.0000,4.0,43.0,0.008323,-0.038384,0.004740,0.013423,2.500000,0.015793,1,9
0.0000,4.0,44.0,0.034623,-0.010606,0.005520,0.011430,2.500000,0.014189,-1,9
0.0000,4.0,45.0,0.094128,0.110197,0.017043,0.173073,2.500000,0.181595,0,10
0.0000,4.0,46.0,0.064528,-0.081474,0.012172,0.091687,2.500000,0.097773,-1,9
0.0000,4.0,47.0,-0.031227,0.048811,0.005315,0.029121,2.500000,0.031778,0,6
0.0000,5.0,0.0,-0.029921,0.004310,0.006344,0.007976,2.500000,0.011148,0,6
0.0000,5.0,1.0,0.022520,0.094633,0.004421,0.078994,2.500000,0.081205,-1,10
0.0000,5.0,2.0,0.044088,-0.002783,0.002211,0.016928,2.500000,0.018034,-1,9
0.0000,5.0,3.0,-0.000906,-0.017123,0.003948,0.002575,2.500000,0.004549,1,5
0.0000,5.0,4.0,-0.007644,-0.053743,0.004841,0.025428,2.500000,0.027849,-1,5
0.0000,5.0,5.0,-0.002452,0.077823,0.009762,0.051340,2.500000,0.056221,0,6
0.0000,5.0,6.0,-0.035712,-0.094675,0.007561,0.085729,2.500000,0.089510,0,5
0.0000,5.0,7.0,-0.008928,0.002052,0.002662,0.000736,2.500000,0.002067,0,6
0.0000,5.0,8.0,-0.007231,0.084197,0.008190,0.060128,2.500000,0.064223,-1,6
0.0000,5.0,9.0,-0.001106,-0.079923,0.004856,0.053998,2.500000,0.056425,0,5
0.0000,5.0,10.0,0.032194,0.044369,0.006252,0.026113,2.500000,0.029239,-1,10
0.0000,5.0,11.0,0.048251,-0.007462,0.001804,0.020638,2.500000,0.021540,0,9
0.0000,5.0,12.0,0.067218,-0.013883,0.007024,0.040296,2.500000,0.043808,0,9
0.0000,5.0,13.0,-0.073730,0.067565,0.008212,0.085210,2.500000,0.089316,-1,6
0.0000,5.0,14.0,0.050163,-0.010771,0.002823,0.022772,2.500000,0.024183,0,9
0.0000,5.0,15.0,-0.015256,0.059936,0.000783,0.032902,2.500000,0.033293,1,6
