idx,a_pot,b_pot,numerically_stable,w0_cpl_latetime,wa_cpl_latetime,chi2_bao,s_fit_bao,chi2_sn,offset_fit_sn,n_sn,chi2_total
243,4.750153888715655,0.745740149561344,True,-1.0,3.8673011632937933e-16,5163.494851810006,0.06200664359772974,1320.3294319482256,42.93335685557614,1590,6483.824283758232
244,21.23794336010432,0.0159630429426905,True,-1.0000082152997527,5.206728220293888e-05,5163.234630984307,0.06200573062455315,1320.32133509783,42.93335751208081,1590,6483.555966082136
245,0.341929427499114,0.0025015572247635,True,-0.9999999866821928,-1.2778718024992402e-09,5163.494670687742,0.062006642543711445,1320.32939787935,42.933356859967205,1590,6483.824068567092
246,45.97353815875866,0.0007857555861374,True,-0.9580753674685556,1.0488283432978671,282.28411411895036,0.04013655277759459,864.1406882782915,42.99290731882755,1590,1146.4248023972418
247,0.0122911038810667,0.0003961219226949,True,-1.0000000004157086,2.3716169790902543e-09,5162.4127071003395,0.06200285189089539,1320.2961863629337,42.933359652349836,1590,6482.708893463273
248,0.0162370486413354,0.0061086752317998,False,-1.0000000000587388,3.2821023494688157e-10,5163.3494969937865,0.062006134294037014,1320.3249655497016,42.933357231046315,1590,6483.674462543488
249,19.984077098413334,0.0015289757676226,True,-1.072384253893396,0.7478839432087033,1735.6445370345718,0.04919086294971831,1131.0435596926236,42.95151465220318,1590,2866.6880967271954
250,0.4884717858561754,0.3199906341079293,True,-0.9999999999999996,5.2460156209533e-16,5163.494851809997,0.06200664359772971,1320.3294319482256,42.93335685557614,1590,6483.824283758223
251,19.418832397882,0.0213282463293393,True,-1.000000811262561,5.19307933215015e-06,5163.468468378222,0.062006550787344954,1320.328611980676,42.93335692062898,1590,6483.797080358898
252,0.792122123454753,0.0005323735596556,False,-0.6720092689588713,0.95844351190522,34.86995244690617,0.03256038639123749,685.2695508713242,43.06811463016123,1590,720.1395033182304
253,0.08362551931065,0.0355220817726087,False,-0.9999999999999998,-5.0858367863120144e-17,5163.494851809564,0.06200664359772821,1320.3294319482097,42.93335685557614,1590,6483.8242837577745
254,30.79595934180924,0.7656775249241856,True,-1.0,5.659924113708721e-17,5163.494851810006,0.06200664359772974,1320.3294319482256,42.93335685557614,1590,6483.824283758232
255,0.2723696616957684,0.0001479845639546,False,-0.999999999999986,4.7127103846552665e-14,5163.494851809472,0.062006643597727215,1320.329431948163,42.93335685557615,1590,6483.8242837576345
256,9.829928741172315,0.0028809979625938,False,-1.039018180750913,0.2572053033568695,3946.7334811737587,0.057738248761777224,1276.956191277246,42.93720177980336,1590,5223.689672451004
257,65.40505692543965,0.0005159482424217,True,-0.806259438054976,1.0085878922183735,33.70264607655505,0.03566515078194078,729.789518483411,43.03370361235531,1590,763.4921645599661
258,0.4711958527265615,0.003871489217078,False,-1.045441258720204,0.8859545203692009,1008.407053555441,0.04558005709645257,1038.7827960389127,42.9628283255954,1590,2047.1898495943537
259,43.2362127434314,0.0236420011123406,False,-1.0000003612676458,2.096611343789341e-06,5163.485177004514,0.06200661007528693,1320.3291507546346,42.93335688039856,1590,6483.814327759149
260,23.00996235847882,0.0001823155250575,True,-0.4192564158526641,0.6413981982613964,161.40917439396594,0.028928211162642114,780.6648916717708,43.13233634529899,1590,942.0740660657367
261,27.97989963820153,0.0037263019376235,False,-1.0174890149664488,0.1085957820089953,4643.879654862521,0.060188693526997745,1303.590655363575,42.93478661302176,1590,5947.470310226096
262,0.3682729994663667,0.0257679503969403,True,-0.9999999529903324,-6.1851859039714035e-09,5163.4942247022245,0.06200663992800486,1320.329312839018,42.93335687103633,1590,6483.823537541242
263,0.2017489104421988,0.1276357299666348,True,-1.0,-3.847608918049634e-16,5163.494851810006,0.06200664359772974,1320.3294319482256,42.93335685557614,1590,6483.824283758232
