idx,mu_sym,c4_pta_product,c4_c0_ratio_split,pta_suppression_split,screening_suppression_factor,phi_center_ratio,numerically_stable,log10_ssf,log10_pcr,gamma_theta_0,gamma_theta_1,gamma_theta_2,gamma_theta_3,gamma_theta_4,gamma_theta_5,gamma_theta_6,gamma_theta_7,gamma_theta_8,gamma_theta_9,gamma_theta_10,gamma_theta_11,gamma_theta_12,gamma_theta_13,gamma_theta_14,pta_max_deviation_from_hd,wall_time_seconds,error
36,0.010784373920303184,0.0022326575588915163,0.44653151177830325,0.005,3.0174500127342632e-05,1.0039003097104406e-14,True,-4.520359915720586,-13.998309411784867,0.5018279206150263,0.4106404105101552,0.2587623170922194,0.10447259262217391,-0.023049188672680628,-0.10884953726646962,-0.1481196690938273,-0.14348829291916174,-0.1026316693427267,-0.03628649948049134,0.04320956669921604,0.12300801132205114,0.19082448328079152,0.23625299858007426,0.25223265756039165,0.0022326575588915154,0.007813453674316406,
37,0.06994420376022926,276.6256912265043,55325.138245300855,0.005,3.144871955654521e-05,1.003032639712808e-14,True,-4.50239703228063,-13.998684934360915,276.9869914720749,206.34845126856158,53.19144146211622,-81.37866445419837,-115.92707449277144,-45.83004675978916,57.4435086257794,103.56437619368553,53.51704140996975,-50.315513413413136,-116.84890424343672,-77.10959454992086,60.36204629000862,211.73214441051655,276.87569122650575,276.6256912265043,0.012224912643432617,
38,5.314226294793988,0.03620184702835282,7.240369405670564,0.005,0.001186231580672284,9.917866658763264e-14,True,-2.925830518062643,-13.003581734898772,0.5357801275419515,0.435929446198427,0.26526241732343453,0.09446651383468144,-0.037282131230033815,-0.11446407198184477,-0.14104745279111724,-0.1307530313602052,-0.09604720668166221,-0.04246075742033895,0.028855287484994295,0.11352389553810877,0.1982134720698688,0.2622245631196524,0.28620184702985296,0.03620184702835283,0.1875295639038086,
39,13.705140191157216,1.6935121478110569,338.70242956221136,0.005,nan,nan,False,nan,nan,2.192261873298226,1.6697469142517476,0.5823934186091022,-0.3937163867276962,-0.7316879348173171,-0.3883895427752718,0.20399630924453405,0.49058296441901217,0.2251997221893291,-0.34369435890494654,-0.6714703656610068,-0.34919314387415906,0.5587121305237258,1.5293416804586388,1.943512147812557,1.6935121478110569,0.3292422294616699,
40,0.1826731638052036,0.000585712696721683,0.1171425393443366,0.005,3.838199525706807e-05,1.1085864338559551e-14,True,-4.4158724525653374,-13.95523044031829,0.5001817991257899,0.4094143097981122,0.258447169546853,0.1049577222442493,-0.022359125942762834,-0.10857732502804474,-0.14846255482309598,-0.14410574284718455,-0.10295090707312761,-0.03598714990664045,0.04390551225373882,0.12346783435599872,0.19046623931580844,0.2349938064872095,0.25058571269822183,0.0005857126967216963,0.013502120971679688,
41,0.14998272433776222,27.41789928737019,5483.579857474037,0.005,3.588399523229976e-05,1.071723573472614e-14,True,-4.445099209698545,-13.969917216505472,27.903788373388554,20.820776261480603,5.504827465616311,-7.971178448629195,-11.510094196456812,-4.640197339268305,5.559685772167131,10.134816570895412,5.211520245128807,-5.019372643396419,-11.54176316284215,-7.5313799994619695,6.154288920807982,21.197240481423137,27.667899287371686,27.417899287370187,0.011663675308227539,
42,19.970910675775183,0.0035932151490724973,0.7186430298144995,0.005,nan,nan,False,nan,nan,0.5031877980086084,0.4116533045471168,0.2590226636251995,0.10407182219889045,-0.023619256381962474,-0.10907441451381183,-0.14783640777024748,-0.14297821137033478,-0.1023679438670621,-0.03653379515150955,0.042634639129806584,0.12262814692382643,0.1911204321961985,0.23729322973704564,0.25359321515057265,0.003593215149072515,0.22971224784851074,
43,6.875697696556574,0.17104433967721858,34.20886793544371,0.005,0.0022031198150222094,1.8058101141378708e-13,True,-2.656961883426615,-12.743327918871763,0.6705552070908035,0.5363156097234165,0.2910649086790934,0.05474685533180745,-0.093780548829518,-0.13675126422602227,-0.11297391645706077,-0.08019973762651723,-0.06990983420271273,-0.06696980058177723,-0.028124782385779604,0.07587619676016318,0.22754445352791725,0.3653200609870952,0.4210443396787187,0.17104433967721855,0.057254791259765625,
44,0.05217880831052285,5.920681741766534e-05,0.011841363483533068,0.005,3.086937065798522e-05,9.937172444830755e-15,True,-4.510472224503987,-14.00273717358046,0.49965555646761745,0.40902234207148236,0.25834642116158824,0.10511281158823058,-0.022138522270632836,-0.10849030247662769,-0.14857217072860454,-0.14430313319384833,-0.10305296303493455,-0.03589145191806785,0.04412799658490762,0.12361483352784339,0.1903517135911644,0.23459125989606683,0.2500592068189178,5.920681741766742e-05,0.012787580490112305,
45,0.02537679801656051,8.498556979348278,1699.7113958696555,0.005,3.0357828526954995e-05,1.129906952743283e-14,True,-4.517729296429008,-13.946957318971421,8.993904593536444,6.73589727853253,1.8845579439849764,-2.3982332975004788,-3.582972104389775,-1.5131488038314886,1.6207727984668305,3.041836827216171,1.5442645659475,-1.5805829258196964,-3.547061897363541,-2.2491452506278296,2.038947624944375,6.732222991355997,8.748556979349779,8.49855697934828,0.007818460464477539,
46,1.060169338134006,0.00011970306505309457,0.023940613010618915,0.005,0.00012475537877391172,2.0328169245429065e-14,True,-3.903940720883159,-13.691901732154363,0.49971602247078384,0.4090673797008563,0.2583579972892317,0.10509499160990192,-0.022163869935118756,-0.10850030148713703,-0.14855957571072326,-0.1442804527722956,-0.10304123666495307,-0.03590244774820474,0.04410243283011881,0.12359794312138891,0.19036487275399816,0.2346375130514822,0.25011970306655323,0.00011970306505310058,0.020644664764404297,
47,40.95806241539124,446.7018445506221,89340.36891012442,0.005,nan,nan,False,nan,nan,446.97811699443116,332.96501110742105,85.73599318125987,-131.47686863904383,-187.18824258198907,-73.94076950618233,92.85251787877873,167.32698964877136,86.48397699454998,-81.22864547340004,-188.71757790401819,-124.59444642322192,97.35706471195462,341.76597393923043,446.9518445506236,446.7018445506221,0.18870902061462402,
48,0.9752109549337118,0.0221548962532277,4.43097925064554,0.005,0.0001154266493031071,1.950086895472855e-14,True,-3.937693911205056,-13.709946036133099,0.5217401993935881,0.4254719155651778,0.26257449366651764,0.09860423093582954,-0.03139651998611342,-0.11214234767803091,-0.14397195808037402,-0.13601932104862507,-0.09877001591924421,-0.03990757617849815,0.034791073904503825,0.11744577032061998,0.19515797491438233,0.2514847929238278,0.27215489625472783,0.022154896253227696,0.015030384063720703,
49,0.6009772242049614,754.449873798106,150889.9747596212,0.005,7.750565895584202e-05,1.5833800282267364e-14,True,-4.110666586995981,-13.800414837282895,754.5722908194354,562.0741248715756,144.62444672725744,-222.1281639875606,-316.13332754952705,-124.80633388332625,156.92412699172536,282.7036503207477,146.13672229828924,-137.1650909032198,-318.76192716399237,-210.51695406171535,164.29851293268968,577.0585413616747,754.6998737981074,754.449873798106,0.0122528076171875,
50,44.74142571374434,0.013183936516388273,2.6367873032776545,0.005,nan,nan,False,nan,nan,0.5127737245946498,0.41879330696467126,0.26085787521402043,0.10124674703139129,-0.027637726897053922,-0.11065959917389016,-0.1458396672807619,-0.13938258995400266,-0.10050891373646283,-0.038277009766749366,0.0385819109216161,0.11995044064587927,0.19320660892779137,0.2446259345458043,0.2631839365178884,0.013183936516388273,0.12155604362487793,
51,1.717869453069947,4.661154296790148,932.2308593580295,0.005,0.00020853180387548855,2.7039522236231847e-14,True,-3.680827699950183,-13.568000986251157,5.158420380488559,3.8790668711798215,1.1502601154605117,-1.2678750469590196,-1.9751170803720637,-0.8788907919508775,0.821844645175179,1.6031705642676783,0.8004365537575645,-0.883094573838928,-1.925499816455979,-1.1777516754672765,1.2042345851737877,3.798289241655927,4.911154296791648,4.661154296790148,0.01711869239807129,
52,0.02326440705012844,0.00021520097149069336,0.04304019429813867,0.005,3.0322253168333498e-05,1.0925893040297588e-14,True,-4.51823853053943,-13.961543055353188,0.4998114726340376,0.4091384750081561,0.25837627108302574,0.10506686142514392,-0.022203883142319233,-0.10851608568214768,-0.14853969352155919,-0.1442446500099745,-0.10302272570225514,-0.035919805498456366,0.04406207850801727,0.12357128033620257,0.19038564548867534,0.23471052715865331,0.2502152009729908,0.00021520097149069217,0.005394697189331055,
