idx,sweep,mu_sym,c4_pta_product,screening_suppression_factor,phi_center_ratio,numerically_stable,pta_max_deviation_from_hd,H0_implied_km_s_Mpc,Omega_m_frozen,wall_time_seconds,error
40,2d,0.7096171028211101,0.28652886891141044,8.806351401038635e-05,1.6915220134668728e-14,True,0.2865288689114105,67.661122494938,0.31115000000000004,0.011844873428344727,
41,2d,0.596064148145281,5.144134866111933e-05,7.703432652549141e-05,1.578413913269813e-14,True,5.144134866114092e-05,67.661122494938,0.31115000000000004,0.010606527328491211,
42,2d,1.1441495205781478,191.77223448410362,0.00013428353375732408,2.1150965109626473e-14,True,191.77223448410362,67.661122494938,0.31115000000000004,0.012785196304321289,
43,2d,2.116234215860831,0.00736376395581743,0.0002707464807084817,3.155164353566314e-14,True,0.007363763955817448,67.661122494938,0.31115000000000004,0.013471364974975586,
44,2d,0.27413972570776474,1.3764813828895102,4.6491031726987485e-05,1.2208783519942322e-14,True,1.3764813828895102,67.661122494938,0.31115000000000004,0.00863504409790039,
45,2d,0.34529967513191223,0.02426702420393686,5.322006577167705e-05,1.3071427663630204e-14,True,0.024267024203936838,67.661122494938,0.31115000000000004,0.01220083236694336,
46,2d,2.554773829095112,0.4101853753121697,0.0003509524544117257,3.70875343338711e-14,True,0.4101853753121697,67.661122494938,0.31115000000000004,0.014883279800415039,
47,2d,0.870591187953647,0.0001088692663117904,0.00010434267642378719,1.8485364203677462e-14,True,0.00010886926631181737,67.661122494938,0.31115000000000004,0.012785911560058594,
48,2d,0.4346999557242171,92.27122448250276,6.170410369044081e-05,1.4090065924164162e-14,True,92.27122448250277,67.661122494938,0.31115000000000004,0.011347532272338867,
49,2d,0.41686880914018887,0.00018876946534668055,6.001482523882464e-05,1.389257595967688e-14,True,0.00018876946534668315,67.661122494938,0.31115000000000004,0.011113405227661133,
50,2d,0.8359894193034989,52.74201414979744,0.00010076865578187975,1.8149349441271547e-14,True,52.74201414979744,67.661122494938,0.31115000000000004,0.012237548828125,
51,2d,2.896346279536102,0.015023913343781451,0.0004230135608392074,4.191741571999137e-14,True,0.015023913343781448,67.661122494938,0.31115000000000004,0.015270709991455078,
52,2d,0.3919853449188799,0.6685875124037424,5.7654966842094376e-05,1.3612441154262285e-14,True,0.6685875124037424,67.661122494938,0.31115000000000004,0.010693788528442383,
53,2d,0.24116936580945855,0.0037237252377129047,4.344682147008514e-05,1.1799188287463917e-14,True,0.003723725237712916,67.661122494938,0.31115000000000004,0.008821964263916016,
54,2d,1.8592474356872315,2.649794582556632,0.00022953274965265057,2.859261773286568e-14,True,2.649794582556632,67.661122494938,0.31115000000000004,0.01367807388305664,
55,2d,1.196257805962061,9.45643526350671e-05,0.00014035526230699852,2.1664906885167985e-14,True,9.456435263505147e-05,67.661122494938,0.31115000000000004,0.012909889221191406,
56,2d,0.622385357910788,107.17969022852645,7.956480147516739e-05,1.6049287049521173e-14,True,107.17969022852645,67.661122494938,0.31115000000000004,0.01139068603515625,
57,2d,0.7418132875075449,0.05863333440057149,9.125210440900041e-05,1.723124169583883e-14,True,0.0586333344005715,67.661122494938,0.31115000000000004,0.01198124885559082,
58,2d,1.4088750952280686,0.16977595534989315,0.00016646622207973336,2.3798365050871135e-14,True,0.1697759553498932,67.661122494938,0.31115000000000004,0.013348102569580078,
59,2d,1.578141145570573,0.00048382625564186507,0.00018887786233874284,2.5549995654636456e-14,True,0.00048382625564186155,67.661122494938,0.31115000000000004,0.013568401336669922,
60,2d,0.20227524312864878,20.76450042164687,4.0011473810023104e-05,1.1320066815305837e-14,True,20.76450042164687,67.661122494938,0.31115000000000004,0.008801460266113281,
61,2d,0.328715199815155,1.1566495680370361e-05,5.164440421829148e-05,1.2874237212493596e-14,True,1.156649568034851e-05,67.661122494938,0.31115000000000004,0.012057304382324219,
62,2d,2.4580090191316253,852.9736473089466,0.0003321172745564785,3.5806798756460775e-14,True,852.9736473089467,67.661122494938,0.31115000000000004,0.01421499252319336,
63,2d,0.9847446268609447,0.0030453002682765368,0.00011645841460676463,1.9593523001033504e-14,True,0.0030453002682765407,67.661122494938,0.31115000000000004,0.012824058532714844,
64,2d,0.496942111083321,3.3286195547422737,6.759718879776195e-05,1.4760862549307187e-14,True,3.328619554742274,67.661122494938,0.31115000000000004,0.011053800582885742,
65,2d,0.5023994068926972,0.03901071147592103,6.811429942212726e-05,1.481847046940614e-14,True,0.039010711475921056,67.661122494938,0.31115000000000004,0.010937213897705078,
66,2d,0.9656339803035267,0.25752897212419196,0.00011439394426705543,1.940782760879774e-14,True,0.257528972124192,67.661122494938,0.31115000000000004,0.012245893478393555,
67,2d,2.504964424484381,0.0009708161775235076,0.0003411734493964376,3.642378218547886e-14,True,0.0009708161775234814,67.661122494938,0.31115000000000004,0.014342069625854492,
