idx,mu_sym,c4_pta_product,c4_c0_ratio_split,pta_suppression_split,screening_suppression_factor,phi_center_ratio,numerically_stable,log10_ssf,log10_pcr,gamma_theta_0,gamma_theta_1,gamma_theta_2,gamma_theta_3,gamma_theta_4,gamma_theta_5,gamma_theta_6,gamma_theta_7,gamma_theta_8,gamma_theta_9,gamma_theta_10,gamma_theta_11,gamma_theta_12,gamma_theta_13,gamma_theta_14,pta_max_deviation_from_hd,wall_time_seconds,error
42,3.725015445046868,191.77223448410362,38354.44689682072,0.005,0.0006389697060536997,5.6130142581720316e-14,True,-3.1945197315217047,-13.250803854584609,192.1759563317488,143.17761530378377,36.95449314497917,-56.383944626724954,-80.37384539105292,-31.80519994888448,39.77744094835048,71.75228462854605,37.069359663401194,-34.89250399818169,-80.99258181138957,-53.418714049632165,41.90469566208989,146.8563830923732,192.02223448410513,191.77223448410362,0.019652128219604492,
43,29.956234856031468,0.00736376395581743,1.472752791163486,0.005,nan,nan,False,nan,nan,0.5069564617687421,0.414460364262918,0.259744168775994,0.10296115665103292,-0.025199099922955513,-0.10969762270635695,-0.1470513982614042,-0.14156460904350043,-0.10163707456409998,-0.0372191321074754,0.04104132733143338,0.12157541878957631,0.1919406031598523,0.24017604952796362,0.2573637639573176,0.007363763955817448,0.193925142288208,
44,0.029356319550548553,1.3764813828895102,275.296276577902,0.005,3.0368431376651906e-05,9.8559288399373e-15,True,-4.517577640154772,-14.006302440785792,1.8753896046061933,1.4337270841174772,0.5217286874055077,-0.3003307375141382,-0.5988534239998391,-0.33598969858428274,0.13799208073167868,0.37172614809309745,0.16374764556821036,-0.28607067850325274,-0.5375034329712131,-0.26067891882057415,0.48975149871636786,1.2869518825038173,1.6264813828910103,1.3764813828895102,0.008797645568847656,
45,0.06418664016431178,0.02426702420393686,4.8534048407873716,0.005,3.1243274266132604e-05,9.997390132828675e-15,True,-4.50524345875123,-14.000113359884455,0.523851271407923,0.42704433103807865,0.2629786553081459,0.09798207541742777,-0.03228149240570116,-0.11249144684370962,-0.1435322235456468,-0.13522747107167918,-0.09836060881109587,-0.040291477677866096,0.0338985570439559,0.1168560692901307,0.19561740565125396,0.2530996465086331,0.27426702420543697,0.024267024203936838,0.012948751449584961,
46,56.72012090191506,0.4101853753121697,82.03707506243394,0.005,nan,nan,False,nan,nan,0.9095766866552908,0.7143488886787316,0.3368252204587202,-0.015695333052966345,-0.19397960204384798,-0.17627724843151146,-0.06318594219924313,0.009455732105217357,-0.023555616028557463,-0.11043620237331493,-0.12917803831254449,0.009108596294077287,0.2795624868961713,0.5481583017004431,0.6601853753136698,0.4101853753121697,0.19712519645690918,
47,1.4752374266931563,0.0001088692663117904,0.02177385326235808,0.005,0.0001750754554902382,2.4478782828930942e-14,True,-3.756774735083414,-13.611210180636803,0.4997051940882874,0.40905931426487485,0.2583559242112807,0.10509818285012479,-0.022159330620593703,-0.10849851084273007,-0.1485618312537396,-0.14428451443119303,-0.10304333664862662,-0.03590047859118504,0.04410701084256221,0.12360096789187201,0.19036251618268477,0.23462922993647084,0.25010886926781195,0.00010886926631181737,0.0221097469329834,
48,0.14008944348368388,92.27122448250276,18454.244896500553,0.005,3.519411901026164e-05,1.0613242032330507e-14,True,-4.453529901714341,-13.974151931680312,92.72469082394174,69.10211829459722,17.91469419131286,-27.074592208818,-38.68335521834561,-15.359359362340257,19.061825531560324,34.448733747829934,17.782450104292,-16.80714751425548,-38.94667780346274,-25.63827200161778,20.261204637240493,70.78165351034978,92.52122448250428,92.27122448250277,0.01110386848449707,
49,0.12154685735239702,0.00018876946534668055,0.03775389306933611,0.005,3.399826076524401e-05,1.0430584013063617e-14,True,-4.468543299410016,-13.981691374550437,0.49978505434204984,0.4091187975500651,0.25837121333976243,0.10507464717855988,-0.022192808456272035,-0.10851171699949311,-0.14854519642968197,-0.14425455934691772,-0.1030278490881233,-0.035915001293845644,0.044073247606402285,0.123578659948979,0.19037989609913655,0.23469031862325937,0.2501887694668468,0.00018876946534668315,0.010066986083984375,
50,1.2857460217770507,52.74201414979744,10548.402829959488,0.005,0.00015107826925540795,2.255504579383474e-14,True,-3.8207979990704284,-13.646756286811026,53.21524270830371,39.6738149866337,10.350668283236256,-15.430734961296695,-22.120788115921034,-8.82584687203298,10.832040537734061,19.628985597566153,10.120253463095832,-9.622297225966209,-22.242913860450127,-14.601811800522093,11.662798359339122,40.55910615527166,52.99201414979894,52.74201414979744,0.022066354751586914,
51,86.79130451032533,0.015023913343781451,3.00478266875629,0.005,nan,nan,False,nan,nan,0.5146127815447887,0.42016311414524504,0.2612099599704707,0.10070475726391073,-0.02840866918034542,-0.11096371634401493,-0.1454565932563729,-0.13869277113508918,-0.10015225940038908,-0.03861144493323696,0.03780439631085849,0.11943672355273356,0.1936068412666287,0.24603271161850812,0.2650239133452816,0.015023913343781448,0.19115209579467773,
52,0.09865861591521687,0.6685875124037424,133.71750248074846,0.005,3.2716468307901406e-05,1.0231268113805164e-14,True,-4.485233583887407,-13.990070534352727,1.1678496382893024,0.9067214759819785,0.38627119833715684,-0.09181113631401225,-0.3022489729462082,-0.21898676820183316,-0.009387902412716503,0.10633230922263731,0.026532103160278042,-0.15740351220699678,-0.2383704118514725,-0.06303665725098731,0.3357702011179001,0.7457228560938314,0.9185875124052425,0.6685875124037424,0.014030694961547852,
53,0.019013326508913065,0.0037237252377129047,0.744745047542581,0.005,3.02598840315828e-05,1.0623970983442817e-14,True,-4.519132740706096,-13.973713124134555,0.503318242850089,0.41175046536669635,0.25904763709882656,0.10403337870789481,-0.02367393954113658,-0.10909598563266461,-0.14780923621888087,-0.14292928232195662,-0.10234264627183047,-0.03655751673461481,0.04257948979354405,0.12259170882180015,0.1911488207917725,0.23739301284176875,0.25372372523921305,0.003723725237712916,0.0077207088470458984,
54,19.31473631969682,2.649794582556632,529.9589165113264,0.005,nan,nan,False,nan,nan,3.148066224598824,2.3816703071277976,0.765380760146493,-0.6754021594707189,-1.1323661133348175,-0.5464469180449809,0.403089556114112,0.8490992293322297,0.4105619896839596,-0.5175087627126302,-1.0755643487786868,-0.6161848936016857,0.7667229868286416,2.2604792601288164,2.899794582558132,2.649794582556632,0.1430349349975586,
55,4.332057230610469,9.45643526350671e-05,0.01891287052701342,0.005,0.0008414371023979178,6.95420470136801e-14,True,-3.074978342079631,-13.15775252973471,0.4996908963262033,0.40904866468865186,0.2583531869256948,0.10510239655364652,-0.022153336924016644,-0.10849614648150471,-0.148564809465622,-0.14428987743278643,-0.1030461094604436,-0.03589787852246904,0.04411305563574857,0.12360496178927459,0.1903594045733577,0.23461829293754355,0.2500945643541352,9.456435263505147e-05,0.023659706115722656,
56,0.47290893032807285,107.17969022852645,21435.93804570529,0.005,6.5321413415692e-05,1.4505004565603566e-14,True,-4.1849444266298805,-13.838482130162514,107.62570323776542,80.20102080587192,20.767471168223395,-31.466080059579234,-44.92993748584967,-17.82347757626709,22.165693953037124,40.03801078633698,20.67225223297401,-19.51691817528599,-45.24651254536829,-29.800679686480024,23.504098800456994,82.1801056476031,107.42969022852796,107.17969022852645,0.013193845748901367,
